CSL,ATRBreakoutLong,long,355.3,306.98,355.97
IONQ,ATRBreakoutShort,short,58.01,69.67,59.11
QSG,ATRBreakoutShort,short,12.32,15.3,9.6
AISP,SecondDayPlayLong,long,5.16,4.84,5.48
HYPD,SecondDayPlayLong,long,12.83,10.65,11.56
QSG,SecondDayPlayLong,long,10.9,9.97,9.97
ADPT,Second_Day_Short,short,13.12,13.63,13.08
ANET,Second_Day_Short,short,144.25,149.47,145.43
BTSG,Second_Day_Short,short,27.22,28.24,27.18
CPRI,Second_Day_Short,short,21.02,21.62,21.62
GAP,Second_Day_Short,short,23.4,24.23,23.92
