Symbol	Enrty	Stop
ABAT	2.83	2.26
AMAT	179.9	168.53
AMPX	10.09	8.08
BBAI	6	5.02
BLNE	3.47	2.66
CCCX	11.32	10.43
CDLX	1.99	1.1
CLSK	11.97	9.81
CRWD	471.42	434.34
ETNB	11.47	7.84
FLD	3.87	3.05
FORM	32.98	30.2
KYTX	4.89	3.78
LAES	3.81	3.19
LTBR	16.14	13.83
NICE	147.57	140.89
NNE	40.02	33.52
NTLA	13.89	11.38
NXE	8.26	7.6
QMCO	9.97	7.52
QUBT	20.06	15.76
QS	11.58	9.41
SMR	41.67	35.13
SNAP	7.81	7.27
SRTA	5.08	4.3
SYM	52.58	47.62
TAC	13.18	12.64
TIC	12.85	10.85
UMAC	11.82	10.26
VERI	4.54	3.61
WRD	10.78	9.87
XNCR	9.4	8.29
