"Symbol","Date/Time","Buy/Sell","Quantity","Price","Commission"
"AAPL","2025-09-22;23:59:09 AEST","BUY","100","251.17","-1.0022"
"AAPL","2025-09-22;23:59:09 AEST","BUY","100","251.18","-0.0022"
"AAPL","2025-09-22;23:59:09 AEST","BUY","100","251.18","-0.5022"
"AAPL","2025-09-22;23:59:09 AEST","BUY","100","251.18","-0.5022"
"AAPL","2025-09-23;00:01:17 AEST","BUY","200","251.58","-1.0044"
"AAPL","2025-09-23;00:01:17 AEST","BUY","200","251.6","-1.0044"
"AAPL","2025-09-23;00:01:48 AEST","BUY","100","252.07","-1.0022"
"AAPL","2025-09-23;00:01:48 AEST","BUY","200","252.07","-0.5044"
"AAPL","2025-09-23;00:01:49 AEST","BUY","100","252.06","-0.5022"
"AAPL","2025-09-23;00:03:23 AEST","BUY","100","251.84","-1.0022"
"AAPL","2025-09-23;00:03:23 AEST","BUY","100","251.84","-0.0022"
"AAPL","2025-09-23;00:03:23 AEST","BUY","100","251.84","-0.5022"
"AAPL","2025-09-23;00:03:23 AEST","BUY","100","251.84","-0.5022"
"AAPL","2025-09-23;00:06:26 AEST","BUY","100","251.55","-1.0022"
"AAPL","2025-09-23;00:06:26 AEST","BUY","300","251.55","-1.0066"
"AAPL","2025-09-23;00:06:52 AEST","BUY","100","251.61","-1.0022"
"AAPL","2025-09-23;00:00:07 AEST","SELL","-200","250.92","-1.0376"
"AAPL","2025-09-23;00:00:07 AEST","SELL","-100","250.92","-0.5188"
"AAPL","2025-09-23;00:00:07 AEST","SELL","-100","250.92","-0.5188"
"AAPL","2025-09-23;00:01:22 AEST","SELL","-100","251.78","-1.0188"
"AAPL","2025-09-23;00:01:22 AEST","SELL","-100","251.78","-0.0188"
"AAPL","2025-09-23;00:01:22 AEST","SELL","-200","251.78","-1.0376"
"AAPL","2025-09-23;00:02:04 AEST","SELL","-100","251.86","-1.0188"
"AAPL","2025-09-23;00:02:04 AEST","SELL","-200","251.86","-0.5376"
"AAPL","2025-09-23;00:02:04 AEST","SELL","-100","251.85","-0.5188"
"AAPL","2025-09-23;00:02:20 AEST","SELL","-100","252.04","-1.0188"
"AAPL","2025-09-23;00:02:20 AEST","SELL","-100","252.04","-0.0188"
"AAPL","2025-09-23;00:02:20 AEST","SELL","-200","252.04","-1.0376"
"AAPL","2025-09-23;00:06:11 AEST","SELL","-100","251.37","-1.0188"
"AAPL","2025-09-23;00:06:12 AEST","SELL","-100","251.37","-0.0188"
"AAPL","2025-09-23;00:06:12 AEST","SELL","-200","251.37","-1.0376"
"AAPL","2025-09-23;00:15:53 AEST","SELL","-100","251.7","-1.0188"
"ACB","2025-09-30;23:31:27 AEST","BUY","300","5.97","-1.5066"
"ACB","2025-09-30;23:31:27 AEST","BUY","7","5.97","-0.035154"
"ACB","2025-09-30;23:31:27 AEST","BUY","28","5.97","-0.140616"
"ACB","2025-10-01;05:55:05 AEST","SELL","-200","5.98","-1.0376"
"ACB","2025-10-01;05:55:05 AEST","SELL","-100","5.98","-0.5188"
"ACB","2025-10-01;05:55:05 AEST","SELL","-35","5.98","-0.18158"
"ADPT","2025-09-26;05:55:06 AEST","BUY","100","13.12","-1.0022"
"ADPT","2025-09-26;05:55:07 AEST","BUY","50","13.12","-0.0011"
"ADPT","2025-09-26;02:57:40 AEST","SELL","-100","13.3","-1.0188"
"ADPT","2025-09-26;02:57:40 AEST","SELL","-50","13.3","-0.0094"
"ADVM","2025-09-24;01:14:47 AEST","BUY","200","4.69","-1.0044"
"ADVM","2025-09-24;01:14:47 AEST","BUY","5","4.72","-0.02511"
"ADVM","2025-09-24;01:14:47 AEST","BUY","100","4.7","-0.5022"
"ADVM","2025-09-24;01:14:47 AEST","BUY","100","4.7","-0.5022"
"ADVM","2025-09-24;01:14:47 AEST","BUY","100","4.72","-0.5022"
"ADVM","2025-09-24;00:54:19 AEST","SELL","-100","3.96","-1.0188"
"ADVM","2025-09-24;00:54:20 AEST","SELL","-100","3.96","-0.0188"
"ADVM","2025-09-24;00:54:22 AEST","SELL","-200","3.96","-1.0376"
"ADVM","2025-09-24;00:54:23 AEST","SELL","-105","3.96","-0.54474"
"AIRE","2025-09-22;23:30:02 AEST","SELL","-400","0.8727","-2.0752"
"AIRE","2025-09-22;23:30:02 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:02 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:02 AEST","SELL","-300","0.8727","-1.5564"
"AIRE","2025-09-22;23:30:02 AEST","SELL","-300","0.8727","-1.5564"
"AIRE","2025-09-22;23:30:03 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:04 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:04 AEST","SELL","-300","0.8727","-1.5564"
"AIRE","2025-09-22;23:30:04 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:04 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-300","0.8727","-1.5564"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-300","0.8727","-1.5564"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:06 AEST","SELL","-100","0.8727","-0.5188"
"AIRE","2025-09-22;23:30:07 AEST","SELL","-246","0.8727","-1.276248"
"ALEC","2025-09-22;23:30:02 AEST","SELL","-100","2.95","-1.0188"
"ALEC","2025-09-22;23:30:02 AEST","SELL","-400","2.95","-1.5752"
"ALEC","2025-09-22;23:30:02 AEST","SELL","-100","2.95","-0.5188"
"ALEC","2025-09-22;23:30:02 AEST","SELL","-400","2.95","-2.0752"
"ALEC","2025-09-22;23:30:03 AEST","SELL","-100","2.95","-0.5188"
"ALEC","2025-09-22;23:30:03 AEST","SELL","-100","2.95","-0.5188"
"ALEC","2025-09-22;23:30:04 AEST","SELL","-33","2.95","-0.171204"
"ALEC","2025-09-22;23:30:04 AEST","SELL","-100","2.95","-0.5188"
"ALM","2025-09-25;01:39:49 AEST","BUY","151","5.69","-1.003322"
"ALM","2025-09-25;01:39:49 AEST","BUY","200","5.69","-0.7594"
"ALM","2025-09-25;05:55:03 AEST","SELL","-100","5.61","-1.0188"
"ALM","2025-09-25;05:55:03 AEST","SELL","-191","5.61","-0.490908"
"ALM","2025-09-25;05:55:04 AEST","SELL","-60","5.61","-0.31128"
"ALRM","2025-09-26;01:02:34 AEST","BUY","39","51.01","-1.000858"
"ALRM","2025-09-26;05:55:06 AEST","SELL","-39","51.31","-1.007332"
"AMD","2025-09-22;23:43:07 AEST","BUY","200","160.15","-1.0044"
"AMD","2025-09-22;23:43:07 AEST","BUY","100","160.15","-0.5022"
"AMD","2025-09-22;23:43:07 AEST","BUY","10","160.15","-0.05022"
"AMD","2025-09-22;23:43:07 AEST","BUY","90","160.15","-0.45198"
"AMD","2025-09-22;23:44:00 AEST","BUY","200","160.37","-1.0044"
"AMD","2025-09-22;23:44:00 AEST","BUY","100","160.36","-0.5022"
"AMD","2025-09-22;23:44:00 AEST","BUY","100","160.37","-0.5022"
"AMD","2025-09-22;23:45:34 AEST","BUY","200","159.87","-1.0044"
"AMD","2025-09-22;23:45:34 AEST","BUY","100","159.87","-0.5022"
"AMD","2025-09-22;23:45:34 AEST","BUY","100","159.87","-0.5022"
"AMD","2025-09-22;23:46:50 AEST","BUY","400","160.27","-2.0088"
"AMD","2025-09-22;23:47:19 AEST","BUY","400","160.52","-2.0088"
"AMD","2025-09-22;23:56:50 AEST","BUY","100","161.23","-1.0022"
"AMD","2025-09-22;23:56:50 AEST","BUY","32","161.23","-0.000704"
"AMD","2025-09-22;23:56:50 AEST","BUY","168","161.23","-0.503696"
"AMD","2025-09-22;23:56:50 AEST","BUY","100","161.23","-0.5022"
"AMD","2025-09-23;00:09:42 AEST","BUY","100","161.44","-1.0022"
"AMD","2025-09-23;00:09:42 AEST","BUY","100","161.44","-0.0022"
"AMD","2025-09-23;00:09:42 AEST","BUY","200","161.44","-1.0044"
"AMD","2025-09-23;00:12:00 AEST","BUY","400","161.3","-2.0088"
"AMD","2025-09-23;23:36:26 AEST","BUY","300","162.44","-1.5066"
"AMD","2025-09-23;23:36:26 AEST","BUY","100","162.44","-0.5022"
"AMD","2025-09-23;23:37:08 AEST","BUY","400","162.58","-2.0088"
"AMD","2025-09-23;23:37:57 AEST","BUY","100","161.97","-1.0022"
"AMD","2025-09-23;23:37:57 AEST","BUY","100","161.97","-0.0022"
"AMD","2025-09-23;23:37:59 AEST","BUY","100","161.97","-0.5022"
"AMD","2025-09-23;23:37:59 AEST","BUY","100","161.97","-0.5022"
"AMD","2025-09-23;23:38:20 AEST","BUY","100","161.78","-1.0022"
"AMD","2025-09-23;23:38:20 AEST","BUY","200","161.78","-0.5044"
"AMD","2025-09-23;23:38:20 AEST","BUY","100","161.78","-0.5022"
"AMD","2025-09-23;23:42:44 AEST","BUY","100","161.3","-1.0022"
"AMD","2025-09-23;23:42:44 AEST","BUY","100","161.3","-0.0022"
"AMD","2025-09-23;23:42:44 AEST","BUY","200","161.3","-1.0044"
"AMD","2025-09-22;23:43:09 AEST","SELL","-200","159.92","-1.0376"
"AMD","2025-09-22;23:43:09 AEST","SELL","-100","159.92","-0.5188"
"AMD","2025-09-22;23:43:09 AEST","SELL","-100","159.92","-0.5188"
"AMD","2025-09-22;23:44:22 AEST","SELL","-100","160.16","-1.0188"
"AMD","2025-09-22;23:44:22 AEST","SELL","-200","160.2","-0.5376"
"AMD","2025-09-22;23:44:22 AEST","SELL","-100","160.2","-0.5188"
"AMD","2025-09-22;23:45:17 AEST","SELL","-100","160.07","-1.0188"
"AMD","2025-09-22;23:45:17 AEST","SELL","-100","160.07","-0.0188"
"AMD","2025-09-22;23:45:17 AEST","SELL","-200","160.07","-1.0376"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-1.0188"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-0.0188"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-0.5188"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-0.5188"
"AMD","2025-09-22;23:47:36 AEST","SELL","-400","160.28","-2.0752"
"AMD","2025-09-22;23:57:03 AEST","SELL","-200","161.02","-1.0376"
"AMD","2025-09-22;23:57:03 AEST","SELL","-200","161.02","-1.0376"
"AMD","2025-09-23;00:11:12 AEST","SELL","-100","161.21","-1.0188"
"AMD","2025-09-23;00:11:12 AEST","SELL","-100","161.21","-0.0188"
